user_id	item_id	time	c_hour_c	c_weekday_c	c_period_c	c_day_f
241	545	884182806.0	22	2	7	109
229	13	879781125.0	23	0	7	58
163	296	876042340.0	17	6	4	15
103	462	879270459.0	1	2	8	53
234	33	874834944.0	17	6	4	1
101	466	886176814.0	0	5	8	133
242	204	877881320.0	23	6	7	36
250	1	887736532.0	1	2	8	151
52	354	875747401.0	7	3	0	12
135	309	876861185.0	4	2	8	25
244	995	882075827.0	13	6	3	85
184	263	879539727.0	4	5	8	56
233	914	880731963.0	23	4	7	69
132	351	886890835.0	6	6	0	141
8	227	877888877.0	2	0	8	37
228	384	885329322.0	4	2	8	123
230	408	875333916.0	12	5	2	7
201	273	884921594.0	11	4	2	118
197	104	879741196.0	12	0	2	58
203	317	879641194.0	8	6	0	57
84	472	886519097.0	23	1	7	136
205	3	886271884.0	2	6	8	134
22	250	885853415.0	6	1	0	129
49	266	888205088.0	11	0	2	156
75	459	879877127.0	2	2	8	60
233	203	880474293.0	0	2	8	67
33	499	881107687.0	8	2	0	74
235	591	881103977.0	7	2	0	74
164	292	884112673.0	2	2	8	109
201	939	884920949.0	11	4	2	118
115	336	879024232.0	5	6	0	50
50	502	883326620.0	0	0	8	100
47	384	883698581.0	7	4	0	104
158	233	879546723.0	6	5	0	56
148	323	882823954.0	4	1	8	94
107	303	884364867.0	0	5	8	112
184	312	879539643.0	4	5	8	56
184	552	879540748.0	4	5	8	56
234	204	874835091.0	17	6	4	1
182	446	878183381.0	11	3	2	40
215	594	878971773.0	14	5	3	49
80	691	888954412.0	3	2	8	165
6	420	879361873.0	3	3	8	54
136	325	877635573.0	3	4	8	34
75	14	879876194.0	2	2	8	60
224	221	875296291.0	1	5	8	7
101	114	874781198.0	2	6	8	1
51	571	879373848.0	6	3	0	54
23	281	881961214.0	5	5	0	84
112	304	879857765.0	20	1	6	59
229	280	877531942.0	22	2	7	32
176	204	880234639.0	5	6	0	64
139	409	886397722.0	13	0	3	135
204	569	878090499.0	10	2	1	39
218	184	885848672.0	5	1	0	129
135	243	876860807.0	4	2	8	25
214	129	875320714.0	8	5	0	7
33	977	881107178.0	7	2	0	74
140	217	884288058.0	3	4	8	111
93	387	886987260.0	9	0	1	142
48	204	884304936.0	8	4	0	111
218	428	885844430.0	3	1	8	129
192	590	879376641.0	7	3	0	54
241	397	884182806.0	22	2	7	109
35	265	878347874.0	9	5	1	42
213	272	886122352.0	9	4	1	132
61	265	880037702.0	22	3	7	61
182	812	883815120.0	16	5	4	105
212	109	879791710.0	2	1	8	59
49	304	888205300.0	11	0	2	156
229	454	877533771.0	23	2	7	32
199	863	880605185.0	12	3	2	68
75	351	879876734.0	2	2	8	60
10	349	884538403.0	1	0	8	114
247	502	886323090.0	16	6	4	134
242	973	889502823.0	12	1	2	171
158	536	879525876.0	0	5	8	56
135	187	876860807.0	4	2	8	25
8	558	877886846.0	1	0	8	37
211	125	874724988.0	11	5	2	0
245	939	879467295.0	8	4	0	55
175	350	878870987.0	10	4	1	48
57	125	876973939.0	11	3	2	26
142	246	875537965.0	20	0	6	9
16	472	885412840.0	4	3	8	124
216	306	875744136.0	6	3	0	12
35	373	883612356.0	7	3	0	103
34	189	875975656.0	22	5	7	14
68	536	887401701.0	4	5	8	147
206	232	886472768.0	10	1	1	136
55	376	883601324.0	4	3	8	103
84	843	885680138.0	6	6	0	127
10	995	881515011.0	1	0	8	79
182	817	878183481.0	11	3	2	40
163	738	884128554.0	7	2	0	109
101	409	876923913.0	21	2	6	25
175	241	878955442.0	10	5	1	49
110	454	875801662.0	22	3	7	12
110	289	875216545.0	3	4	8	6
208	524	882164999.0	13	0	3	86
1	675	878542420.0	15	0	3	44
61	551	880036718.0	22	3	7	61
10	440	882140926.0	7	0	0	86
235	243	881105481.0	7	2	0	74
190	555	888549622.0	11	4	2	160
150	294	878962392.0	12	5	2	49
211	331	874724710.0	11	5	2	0
247	542	886323648.0	17	6	4	134
124	482	877399018.0	9	1	1	31
82	302	884238860.0	13	3	3	110
48	74	884304936.0	8	4	0	111
71	309	887665548.0	5	1	0	150
219	247	879455113.0	5	4	0	55
105	549	879454628.0	4	4	8	55
242	194	877877775.0	22	6	7	36
127	2	879524921.0	0	5	8	56
5	194	883599249.0	4	3	8	103
245	754	879467542.0	8	4	0	55
244	844	882078621.0	13	6	3	85
75	630	879875940.0	1	2	8	60
237	68	877819599.0	6	6	0	36
229	240	877531791.0	22	2	7	32
163	398	884128458.0	7	2	0	109
148	639	882826555.0	5	1	0	94
51	716	879374686.0	6	3	0	54
77	241	875653271.0	5	2	0	11
244	475	882078040.0	13	6	3	85
30	421	882157581.0	11	0	2	86
224	744	875307407.0	4	5	8	7
204	764	878089716.0	9	2	1	39
101	312	874775038.0	1	6	8	1
238	291	879966498.0	3	3	8	61
55	334	883601089.0	4	3	8	103
191	274	879394264.0	12	3	2	54
71	689	880308578.0	2	0	8	65
244	634	882076587.0	13	6	3	85
249	922	879283786.0	5	2	0	53
71	645	880308755.0	2	0	8	65
240	185	875240090.0	10	4	1	6
213	862	886122952.0	9	4	1	132
73	582	879456199.0	5	4	0	55
95	661	875936424.0	11	5	2	14
235	76	881104093.0	7	2	0	74
221	995	875155140.0	10	3	1	5
178	281	877488546.0	10	2	1	32
101	296	874775311.0	1	6	8	1
133	246	880134407.0	1	5	8	63
182	129	877563802.0	7	3	0	33
244	843	882076403.0	13	6	3	85
122	312	875270570.0	18	4	5	6
20	460	874786462.0	4	6	8	1
239	770	884197193.0	2	3	8	110
13	706	877720297.0	3	5	8	35
130	437	879138713.0	13	0	3	51
66	556	884733766.0	7	2	0	116
239	583	884196584.0	2	3	8	110
182	828	878183616.0	11	3	2	40
10	288	882140588.0	7	0	0	86
13	770	877722736.0	3	5	8	35
217	524	876956264.0	6	3	0	26
154	706	879465631.0	8	4	0	55
163	384	876041644.0	16	6	4	15
141	811	887646170.0	0	1	8	150
108	276	879967478.0	3	3	8	61
1	411	878542699.0	15	0	3	44
1	228	875072547.0	11	2	2	4
108	583	879967767.0	3	3	8	61
250	136	887739521.0	2	2	8	151
245	186	879467959.0	8	4	0	55
58	332	882126156.0	3	0	8	86
206	730	887347350.0	13	4	3	146
222	270	874792436.0	5	6	0	1
215	485	878970785.0	14	5	3	49
10	634	881515011.0	1	0	8	79
237	348	889241426.0	11	5	2	168
15	336	880129731.0	0	5	8	63
250	715	887739292.0	2	2	8	151
163	977	884129409.0	7	2	0	109
13	267	877726146.0	4	5	8	35
218	269	885848448.0	5	1	0	129
119	237	888640356.0	12	5	2	161
169	334	877879172.0	23	6	7	36
147	415	880130397.0	0	5	8	63
218	453	885849447.0	5	1	0	129
247	500	886324486.0	17	6	4	134
18	632	874951695.0	2	1	8	3
250	476	887740700.0	2	2	8	151
250	707	887737036.0	1	2	8	151
219	138	879455254.0	5	4	0	55
239	271	884196921.0	2	3	8	110
149	532	877544218.0	2	3	8	33
148	794	882827532.0	5	1	0	94
208	839	882165296.0	13	0	3	86
34	863	883956189.0	7	0	0	107
127	267	879528710.0	1	5	8	56
203	257	879641067.0	8	6	0	57
121	763	888106106.0	8	6	0	155
244	669	882075994.0	13	6	3	85
182	987	878181739.0	11	3	2	40
236	187	888905550.0	14	1	3	164
175	242	878955442.0	10	5	1	49
10	571	882139901.0	6	0	0	86
49	779	888205921.0	11	0	2	156
4	238	875636198.0	0	2	8	11
105	231	879454956.0	5	4	0	55
144	395	886432749.0	23	0	7	135
175	591	878870518.0	10	4	1	48
108	215	879968827.0	3	3	8	61
194	634	889179478.0	18	4	5	167
234	851	875086354.0	15	2	3	4
204	313	878089963.0	9	2	1	39
50	665	883327734.0	0	0	8	100
230	1	875334088.0	12	5	2	7
176	609	880233810.0	5	6	0	64
166	542	880434463.0	13	1	3	66
175	245	878956338.0	10	5	1	49
229	366	875806672.0	23	3	7	12
238	264	879517412.0	22	4	7	55
204	662	878089921.0	9	2	1	39
114	204	881433689.0	2	6	8	78
209	189	882049932.0	5	6	0	85
1	271	887431883.0	12	5	2	147
245	478	879468375.0	8	4	0	55
154	283	879465242.0	7	4	0	55
81	223	884402860.0	11	5	2	112
97	54	881171009.0	1	3	8	75
62	552	888625753.0	8	5	0	161
181	546	875244204.0	11	4	2	6
61	251	880036515.0	22	3	7	61
22	437	885852757.0	6	1	0	129
233	574	880473582.0	23	1	7	66
163	445	884129962.0	7	2	0	109
154	187	879465653.0	8	4	0	55
10	303	882397650.0	6	3	0	89
51	776	879376178.0	7	3	0	54
45	804	880934806.0	8	0	0	72
77	236	875653723.0	5	2	0	11
249	243	879283480.0	5	2	0	53
245	272	879468459.0	8	4	0	55
99	216	880125101.0	23	4	7	62
183	828	888103872.0	7	6	0	155
206	303	886474580.0	10	1	1	136
53	457	879365491.0	4	3	8	54
36	325	881014015.0	6	1	0	73
222	942	889174849.0	17	4	4	167
213	785	886123656.0	9	4	1	132
8	677	877886722.0	1	0	8	37
250	502	887736584.0	1	2	8	151
181	960	875246759.0	12	4	2	6
111	162	883681514.0	3	4	8	104
188	745	880484286.0	2	2	8	67
156	49	881368891.0	8	5	0	77
157	958	889124890.0	3	4	8	167
108	668	879966839.0	3	3	8	61
199	341	880606634.0	12	3	2	68
101	458	874781742.0	2	6	8	1
189	250	888605273.0	2	5	8	161
244	411	882078228.0	13	6	3	85
110	709	875216933.0	3	4	8	6
51	138	879373613.0	6	3	0	54
148	888	882824291.0	4	1	8	94
177	663	889070087.0	11	3	2	166
115	556	879024127.0	5	6	0	50
250	858	887737293.0	1	2	8	151
10	900	882141924.0	7	0	0	86
188	804	880485043.0	3	2	8	67
194	75	889179253.0	18	4	5	167
200	25	888513447.0	1	4	8	160
238	979	879519556.0	22	4	7	55
8	764	877892210.0	2	0	8	37
224	471	875313859.0	6	5	0	7
5	995	883600680.0	4	3	8	103
198	31	879988184.0	9	3	1	61
241	250	884125629.0	6	2	0	109
100	272	875384647.0	2	6	8	8
227	86	879297545.0	9	2	1	53
59	290	884151119.0	13	2	3	109
8	3	877891747.0	2	0	8	37
200	250	888513664.0	1	4	8	160
222	765	874790826.0	5	6	0	1
185	318	883888671.0	12	6	2	106
51	14	879373008.0	6	3	0	54
222	492	874792907.0	6	6	0	1
248	310	876504354.0	1	5	8	21
50	506	883326122.0	0	0	8	100
33	351	881105817.0	7	2	0	74
1	274	875072442.0	11	2	2	4
10	857	882397582.0	6	3	0	89
143	367	877556988.0	5	3	0	33
152	304	883524249.0	7	2	0	102
199	457	880604077.0	12	3	2	68
126	372	878746946.0	0	3	8	47
148	397	882826915.0	5	1	0	94
82	296	884238887.0	13	3	3	110
99	344	880124306.0	22	4	7	62
213	722	886123530.0	9	4	1	132
33	656	881108147.0	8	2	0	74
75	447	879876702.0	2	2	8	60
208	167	882164406.0	13	0	3	86
235	729	881105561.0	7	2	0	74
201	733	884922831.0	11	4	2	118
220	888	878945579.0	7	5	0	49
155	757	875072583.0	11	2	2	4
15	898	880129731.0	0	5	8	63
157	481	889127921.0	3	4	8	167
121	773	888105940.0	8	6	0	155
39	674	879434819.0	23	3	7	54
19	170	878887983.0	15	4	3	48
253	508	884365485.0	1	5	8	112
6	293	879362183.0	3	3	8	54
222	257	874792547.0	5	6	0	1
182	242	878183043.0	11	3	2	40
61	902	880035887.0	22	3	7	61
242	186	878192311.0	14	3	3	40
138	289	879525778.0	0	5	8	56
150	144	878962623.0	12	5	2	49
163	76	884129542.0	7	2	0	109
199	771	880606243.0	12	3	2	68
170	289	883108324.0	11	4	2	97
2	371	888550774.0	11	4	2	160
40	382	888065432.0	20	5	6	154
229	220	877531406.0	22	2	7	32
19	851	878887227.0	15	4	3	48
216	211	876514002.0	4	5	8	21
220	479	878945840.0	7	5	0	49
13	626	877717956.0	2	5	8	35
233	229	880474293.0	0	2	8	67
77	591	875640800.0	1	2	8	11
194	58	889179032.0	18	4	5	167
202	309	884534968.0	0	0	8	114
250	256	887738760.0	2	2	8	151
222	706	874787441.0	4	6	8	1
103	584	879270511.0	1	2	8	53
238	801	879518319.0	22	4	7	55
238	464	879518279.0	22	4	7	55
134	25	880557539.0	23	2	7	67
222	250	874786488.0	4	6	8	1
10	870	882397833.0	6	3	0	89
71	728	880308256.0	2	0	8	65
182	848	878183684.0	11	3	2	40
34	139	884029430.0	3	1	8	108
66	594	884753202.0	12	2	2	116
234	751	874835165.0	17	6	4	1
131	729	888185947.0	6	0	0	156
190	596	888550130.0	11	4	2	160
140	902	884287927.0	3	4	8	111
31	366	880915258.0	2	0	8	72
153	637	879023663.0	5	6	0	50
