item_id	i_genre_c	i_title_c
1	5	923
2	3	381
3	17	339
4	6	365
5	17	206
6	9	797
7	16	935
8	5	66
9	9	236
10	9	747
11	7	785
12	17	950
13	6	582
14	9	699
15	9	600
16	15	345
17	7	350
18	9	49
19	15	44
20	17	610
21	9	134
22	9	880
23	2	767
24	6	106
25	6	146
26	2	69
27	9	52
28	2	80
29	9	95
30	9	211
31	8	219
32	2	244
33	17	631
34	16	858
35	6	915
36	6	105
37	6	189
38	9	256
39	9	258
40	9	275
41	9	296
42	6	276
43	8	428
44	6	443
45	15	852
46	15	514
47	9	545
48	17	629
49	9	666
50	9	710
51	9	714
52	9	704
53	9	720
54	9	897
55	9	896
56	9	898
57	16	853
58	6	772
59	9	798
60	9	971
61	6	977
62	6	12
63	2	216
64	6	337
65	6	340
66	4	518
67	10	565
68	19	568
69	9	160
70	9	322
71	3	342
72	17	351
73	18	430
74	15	437
75	16	485
76	15	607
77	16	753
78	6	737
79	9	739
80	9	777
81	6	810
82	11	110
83	6	818
84	13	636
85	2	931
86	6	969
87	6	423
88	6	26
89	17	883
90	19	224
91	17	804
92	4	817
93	7	308
94	16	415
95	5	56
96	6	789
97	9	249
98	9	590
99	6	493
100	6	626
101	18	661
102	6	933
103	9	429
104	4	962
105	8	410
106	6	196
107	3	756
108	3	936
109	6	862
110	2	455
111	6	153
112	6	349
113	9	527
114	9	684
115	9	837
116	7	379
117	2	868
118	17	127
119	7	490
120	9	138
121	3	989
122	9	382
123	9	183
124	14	6
125	9	601
126	9	103
127	5	223
128	5	536
129	5	426
130	5	5
131	5	90
132	13	827
133	2	251
134	2	511
135	2	528
136	3	369
137	9	479
138	6	872
139	3	982
140	16	808
141	6	326
142	6	594
143	15	255
144	7	742
145	18	693
146	6	967
147	14	75
148	9	375
149	2	920
150	9	652
151	6	746
152	16	11
153	9	474
154	9	558
155	6	708
156	6	593
157	6	994
158	6	181
159	16	242
160	9	280
161	3	707
162	2	723
163	16	135
164	2	32
165	2	384
166	9	2
167	16	193
168	18	51
169	15	745
170	9	385
171	16	29
172	16	57
173	12	713
174	6	117
175	9	380
176	2	352
177	6	388
178	9	416
179	9	35
180	9	722
181	9	749
182	6	856
183	16	884
184	9	237
185	15	387
186	17	638
187	18	141
188	12	802
189	3	292
190	15	398
191	19	944
192	16	67
193	18	677
194	3	25
195	9	222
196	6	996
197	9	893
198	2	458
199	6	541
200	9	940
201	9	761
202	13	691
203	9	317
204	6	973
205	12	132
206	17	158
207	12	637
208	6	587
209	9	139
210	3	848
211	9	811
212	9	748
213	5	1
214	17	252
215	16	847
216	16	851
217	16	844
218	16	845
219	2	81
220	6	997
221	2	941
222	2	472
223	6	560
224	9	184
225	15	476
226	6	726
227	7	816
228	4	88
229	18	509
230	6	500
231	5	483
232	2	814
233	9	248
234	15	176
235	7	397
236	6	65
237	16	319
238	6	795
239	2	532
240	9	690
241	2	78
242	15	616
243	6	976
244	3	575
245	9	201
246	6	363
247	14	290
248	5	23
249	9	450
250	16	585
251	17	439
252	3	502
253	1	1000
254	15	176
255	6	353
256	16	361
257	16	854
258	9	383
259	7	411
260	6	769
261	15	782
262	15	513
263	9	743
264	9	89
265	9	655
266	9	948
267	2	751
268	9	903
269	9	279
270	6	905
271	9	780
272	9	282
273	9	561
274	12	774
275	13	293
276	6	318
277	17	10
278	9	763
279	9	261
280	6	515
281	2	137
282	9	938
283	2	299
284	9	427
285	17	24
286	6	447
287	17	504
288	9	938
289	3	330
290	9	444
291	15	602
292	14	247
293	9	300
294	7	239
295	9	724
296	9	984
297	14	581
298	2	908
299	9	55
300	6	61
301	9	453
302	9	773
303	13	291
304	8	669
305	6	597
306	14	611
307	2	227
308	14	530
309	17	210
310	2	355
311	9	205
312	2	200
313	17	245
314	9	3
315	17	278
316	7	499
317	17	356
318	7	937
319	6	434
320	7	694
321	9	432
322	6	82
323	2	544
324	9	122
325	6	212
326	14	550
327	12	31
328	9	53
329	9	240
330	7	468
331	9	958
332	7	245
333	17	405
334	17	302
335	6	836
336	6	966
337	16	835
338	9	190
339	9	658
340	17	830
341	17	63
342	8	993
343	7	454
344	13	116
345	2	865
346	6	13
347	9	701
348	9	226
349	6	195
350	6	109
351	17	563
352	15	142
